ts_ms,volume,energy_ratio,rel_dist_mm,delta_mm,phase_vel_mm_per_frame,power_thr,avg_power,min_power,max_power,power_pass,freq_used_1st,freq_used_2nd
1773844584020,2,1.417638,0.000000,-0.006264,-0.006225,15000.0,1159457.875,122566.984,2034206.250,10,10,6
1773844584042,2,1.476017,0.000000,-0.005192,-0.005910,15000.0,1142619.750,120632.648,2024037.750,10,10,7
1773844584063,2,1.476017,0.000000,-0.005962,-0.005925,15000.0,1122426.750,118272.000,2007146.625,10,10,7
1773844584083,2,1.476017,0.000000,-0.000402,-0.004851,15000.0,1102634.250,115646.750,1985485.625,10,10,7
1773844584105,2,1.476017,0.000000,-0.000463,-0.003657,15000.0,1081581.750,113228.516,1966527.750,10,10,8
1773844584127,2,1.627710,0.000000,0.003132,-0.001777,15000.0,1063507.375,110571.531,1946792.375,10,10,7
1773844584148,2,1.627710,0.000000,0.002368,-0.000265,15000.0,1050169.125,109092.727,1932182.625,10,10,8
1773844584168,2,1.627710,0.000000,0.001506,0.001228,15000.0,1044186.313,107982.875,1926483.625,10,10,7
1773844584191,2,1.627710,0.000000,0.001756,0.001660,15000.0,1036137.563,107353.797,1915809.625,10,10,8
1773844584212,2,1.788891,0.000000,0.004196,0.002592,15000.0,1027852.375,106544.430,1905825.500,10,10,8
1773844584233,2,1.788891,0.000000,0.002611,0.002487,15000.0,1019585.188,106064.539,1899102.875,10,10,7
1773844584253,2,1.788891,0.000000,0.002054,0.002425,15000.0,1015927.625,105767.250,1893566.250,10,10,7
1773844584276,2,1.788891,0.000000,0.003160,0.002755,15000.0,1012613.500,105902.320,1893131.500,10,10,6
1773844584276,2,1.788891,0.000000,0.002854,0.002975,15000.0,1009208.875,105560.086,1888102.375,10,10,6
1773844584297,2,1.931835,0.000000,-0.000211,0.002094,15000.0,1010185.250,105886.430,1888783.375,10,10,7
1773844584319,2,1.931835,0.000000,-0.000795,0.001413,15000.0,1012039.375,105820.352,1890701.375,10,10,6
1773844584338,2,1.931835,0.000000,-0.005640,-0.000126,15000.0,1020064.500,105665.305,1895172.250,10,10,9
1773844584365,2,1.931835,0.000000,-0.007820,-0.002322,15000.0,1038021.000,107317.664,1915380.750,10,10,8
1773844584383,2,1.966227,0.000000,-0.001253,-0.003144,15000.0,1076879.625,112010.539,1959980.250,10,10,9
1773844584410,2,1.966227,0.000000,0.014602,-0.000181,15000.0,1132021.625,119226.844,2015092.125,10,10,7
1773844584425,2,1.966227,0.018983,0.027766,0.005531,15000.0,1173837.875,124001.234,2039679.750,10,10,5
1773844584445,2,1.966227,0.055079,0.025636,0.011786,15000.0,1174267.000,125815.383,2048900.875,10,10,8
1773844584468,2,1.794797,0.088406,0.017495,0.016849,15000.0,1132570.500,125486.758,2052404.000,10,10,9
1773844584489,2,1.794797,0.111149,0.004491,0.017998,15000.0,1079081.125,121072.594,2037183.625,10,10,8
1773844584510,2,1.794797,0.111149,-0.015238,0.012030,15000.0,1037219.375,114024.141,2005990.875,10,10,5
1773844584531,2,1.794797,0.091340,-0.024516,0.001574,15000.0,1008008.750,108574.203,1964517.750,10,10,6
1773844584552,2,1.819640,0.059469,-0.031940,-0.009942,15000.0,1001971.125,108557.555,1931774.375,10,10,6
1773844584575,2,1.819640,0.017947,-0.012280,-0.015897,15000.0,1029708.438,112531.906,1933953.750,10,10,9
1773844584595,2,1.819640,0.001984,0.016534,-0.013488,15000.0,1077549.250,117237.133,1955081.500,10,10,9
1773844584596,2,1.819640,0.023478,0.031655,-0.004109,15000.0,1112822.625,121448.758,1995673.625,10,10,8
1773844584615,2,1.819640,0.064629,0.019606,0.004715,15000.0,1110423.625,122957.695,2018749.625,10,10,9
1773844584638,2,1.719456,0.090116,0.001385,0.011380,15000.0,1075132.250,119962.039,1996753.750,10,10,9
1773844584660,2,1.719456,0.090116,-0.012211,0.011394,15000.0,1037542.813,113920.070,1972377.625,10,10,6
1773844584681,2,1.719456,0.074241,-0.023674,0.003352,15000.0,1016128.125,111861.250,1938604.250,10,10,7
1773844584702,2,1.719456,0.043466,-0.010321,-0.005043,15000.0,1031932.438,113643.266,1954893.375,10,10,8
1773844584726,2,1.684749,0.030049,0.012718,-0.006420,15000.0,1074202.625,117273.211,2002182.375,10,10,9
1773844584747,2,1.684749,0.046582,0.025142,-0.001669,15000.0,1109644.875,118485.953,2023802.500,10,10,9
1773844584769,2,1.684749,0.079266,0.019236,0.004620,15000.0,1107656.250,117519.273,2015112.875,10,10,9
1773844584786,2,1.684749,0.104273,-0.000901,0.009175,15000.0,1073179.000,114901.344,1981660.500,10,10,9
1773844584808,2,1.669007,0.104273,-0.023298,0.006579,15000.0,1031248.000,114047.289,1946869.875,10,10,9
1773844584829,2,1.669007,0.073986,-0.013827,0.001270,15000.0,1023065.125,116777.055,1967550.250,10,10,8
1773844584854,2,1.669007,0.056010,0.001974,-0.003363,15000.0,1052318.250,119292.234,1988184.250,10,10,9
1773844584871,2,1.669007,0.056010,0.018468,-0.003517,15000.0,1089429.375,117092.930,2011296.500,10,10,8
1773844584898,2,1.603848,0.080018,0.009112,-0.001514,15000.0,1093219.250,114119.648,2008756.750,10,10,7
1773844584914,2,1.603848,0.000000,-0.014455,0.000254,15000.0,1061341.500,113849.266,1962641.375,10,10,8
1773844584915,2,1.603848,-0.018791,-0.009829,0.001054,15000.0,1037762.813,117396.156,1958699.500,10,10,7
1773844584937,2,1.603848,0.000000,0.009423,0.002544,15000.0,1053027.625,118860.992,1997196.125,10,10,8
1773844584958,2,1.603848,0.000000,0.014869,0.001824,15000.0,1077516.375,115464.086,2016469.625,10,10,9
1773844584980,2,1.554700,0.000000,0.000758,0.000153,15000.0,1077478.250,113761.875,1988282.125,10,10,5
1773844585002,2,1.554700,0.000000,-0.012361,0.000572,15000.0,1058675.250,115629.633,1961299.500,10,10,8
1773844585024,2,1.554700,-0.016069,-0.002252,0.002087,15000.0,1046775.563,118677.172,1972241.250,10,10,7
1773844585045,2,1.554700,-0.016069,0.004396,0.001082,15000.0,1057982.500,117385.414,2001861.625,10,10,8
1773844585062,2,1.520486,-0.016069,0.009042,-0.000083,15000.0,1073846.625,114630.984,2018770.875,10,10,9
1773844585086,2,1.520486,-0.016069,0.007029,0.001171,15000.0,1071150.250,113850.844,1984990.000,10,10,5
1773844585108,2,1.520486,-0.016069,-0.010609,0.001521,15000.0,1055475.125,117429.680,1967358.500,10,10,8
1773844585129,2,1.520486,-0.029860,0.003860,0.002744,15000.0,1052444.375,116895.703,1986898.000,10,10,8
1773844585152,2,1.498555,-0.029860,0.005741,0.003013,15000.0,1066503.875,114354.602,2007962.875,10,10,9
1773844585173,2,1.498555,-0.029860,-0.005244,0.000156,15000.0,1067953.500,114445.078,1976370.375,10,10,6
1773844585194,2,1.498555,-0.029860,0.000574,-0.001135,15000.0,1058403.125,118092.891,1978116.625,10,10,7
1773844585215,2,1.498555,-0.029860,0.004114,0.001809,15000.0,1056988.000,115096.594,1997616.500,10,10,8
1773844585237,2,1.480443,-0.029860,0.004444,0.001926,15000.0,1064197.625,114161.781,2006122.125,10,10,9
1773844585238,2,1.480443,-0.029860,0.006971,0.002172,15000.0,1063812.000,117372.023,1963374.250,10,10,6
1773844585258,2,1.480443,-0.029860,0.005083,0.004237,15000.0,1059528.375,115315.055,1982417.500,10,10,7
1773844585278,2,1.480443,-0.029860,-0.005015,0.003119,15000.0,1059859.750,114050.047,2010851.500,10,10,9
1773844585300,2,1.480443,-0.029860,0.002128,0.002722,15000.0,1064297.250,117541.766,1980229.750,10,10,8
1773844585322,2,1.468691,-0.029860,0.001363,0.002106,15000.0,1060831.500,116228.680,1980115.375,10,10,7
1773844585343,2,1.468691,-0.029860,0.002352,0.001182,15000.0,1060553.250,114113.961,2000673.875,10,10,7
1773844585363,2,1.468691,-0.029860,0.007811,0.001728,15000.0,1061549.875,116993.820,1980282.875,10,10,9
1773844585385,2,1.468691,-0.029860,0.006677,0.004066,15000.0,1063359.375,115635.383,1974200.500,10,10,6
1773844585407,2,1.468266,-0.029860,-0.005702,0.002500,15000.0,1060100.875,114362.891,2007826.000,10,10,8
1773844585427,2,1.468266,-0.029860,0.004861,0.003200,15000.0,1061644.375,117418.539,1989392.125,10,10,7
1773844585448,2,1.468266,-0.029860,0.000437,0.002817,15000.0,1064799.125,115508.250,1973781.375,10,10,8
1773844585470,2,1.468266,-0.029860,-0.006028,0.000049,15000.0,1062742.250,114920.414,2005585.375,10,10,9
1773844585493,2,1.462678,-0.029860,-0.001824,-0.001651,15000.0,1059025.750,117389.891,1990386.500,10,10,8
1773844585514,2,1.462678,-0.029860,0.006377,0.000765,15000.0,1060126.875,115336.898,1965407.625,10,10,9
1773844585536,2,1.462678,-0.029860,-0.002655,-0.000739,15000.0,1064098.625,114653.289,1999279.125,10,10,7
1773844585557,2,1.462678,-0.029860,0.000342,-0.000758,15000.0,1060236.000,117274.953,1991113.625,10,10,8
1773844585557,2,1.462678,-0.029860,-0.001280,0.000192,15000.0,1058383.375,115256.781,1968919.375,10,10,8
1773844585578,2,1.454554,-0.029860,-0.002911,-0.000025,15000.0,1060299.875,115278.180,1986184.000,10,10,8
1773844585600,2,1.454554,-0.029860,0.002664,-0.000768,15000.0,1063125.750,116896.625,1990751.250,10,10,7
1773844585617,2,1.454554,-0.029860,0.000349,-0.000167,15000.0,1060763.500,115925.867,1973004.000,10,10,8
1773844585644,2,1.454554,-0.029860,-0.000229,-0.000281,15000.0,1059119.625,115430.961,1976923.375,10,10,7
1773844585666,2,1.449440,-0.029860,0.001708,0.000316,15000.0,1061277.125,116427.148,1993092.750,10,10,6
1773844585682,2,1.449440,-0.029860,0.002611,0.001421,15000.0,1062147.000,115938.539,1981817.250,10,10,8
1773844585705,2,1.449440,-0.029860,-0.002887,0.000310,15000.0,1060220.125,115545.344,1981166.500,10,10,7
1773844585725,2,1.449440,-0.029860,-0.002077,-0.000175,15000.0,1060690.625,116124.336,1988799.500,10,10,6
1773844585748,2,1.441778,-0.029860,0.003744,0.000620,15000.0,1061295.750,116048.352,1986366.750,10,10,6
1773844585770,2,1.441778,-0.029860,0.001762,0.000630,15000.0,1060736.875,115472.641,1975232.125,10,10,9
1773844585791,2,1.441778,-0.029860,0.000361,0.000180,15000.0,1059398.875,115919.125,1980758.500,10,10,7
